Shopper_ID,floor,lat,lng,x,y,seenTimestamp
Shopper_556,Floor 4,37.66146302,-122.2986728,-2934.558251,-16169.72229,2016-11-22T02:16:06.000Z
Shopper_556,Floor 1,37.78406211,-122.4069432,117.2624746,151.8238116,2016-12-23T22:01:25.000Z
Shopper_556,Floor 4,37.78436125,-122.4067095,156.1250868,171.3572003,2016-11-22T01:42:28.000Z
Shopper_360,Concourse,37.78434131,-122.4068907,134.4996733,167.6744011,2016-10-13T18:27:38.000Z
Shopper_360,Floor 2,37.78401733,-122.4073072,94.98169298,172.2692432,2016-10-12T21:36:18.000Z
Shopper_420,Floor 4,37.66162362,-122.2984593,-2908.686633,-16170.58466,2016-12-19T01:31:08.000Z
Shopper_420,Floor 1,37.78385587,-122.4070922,91.86057451,144.6519438,2016-12-19T01:36:10.000Z
Shopper_245,Floor 2,37.78397004,-122.407194,98.38964653,161.5518958,2016-10-14T03:02:55.000Z
Shopper_334,Floor 2,37.78382762,-122.4069863,100.3071501,137.4773985,2017-03-18T03:25:59.000Z
Shopper_205,Floor 1,37.78421876,-122.4068961,132.4179394,161.3388659,2017-06-06T20:33:31.000Z
Shopper_205,Concourse,37.78463814,-122.406411,187.6740638,161.6688386,2017-06-06T01:28:51.000Z
Shopper_530,Floor 1,35.08514873,-113.6637341,337611.758,-752026.1402,2017-03-08T23:50:12.000Z
Shopper_530,Concourse,36.54127145,-118.4354617,152099.1346,-342852.7373,2017-01-28T00:07:15.000Z
Shopper_359,Concourse,37.78396128,-122.407034,95.92117176,146.3723637,2017-05-20T18:34:46.000Z
Shopper_189,Concourse,35.23997601,-114.2209897,314753.9165,-705450.5711,2017-01-17T23:56:19.000Z
Shopper_189,Concourse,37.78404899,-122.4070545,101.4707622,154.5846606,2017-01-17T02:40:49.000Z
Shopper_189,Concourse,37.78408429,-122.4070442,104.8637975,156.7499413,2017-01-17T01:57:58.000Z
Shopper_481,Floor 2,35.26505409,-114.2466719,315111.0512,-701877.8194,2017-04-11T22:10:26.000Z
Shopper_155,Floor 4,37.78428691,-122.4069535,135.2078711,180.8558295,2017-06-13T17:38:20.000Z
Shopper_155,Floor 1,36.9805232,-119.8112295,100136.465,-223337.7638,2017-06-13T18:21:23.000Z
Shopper_155,Floor 4,37.75956105,-122.3852927,-491.2244998,-3102.101983,2017-06-13T18:42:51.000Z
Shopper_287,Concourse,37.65664846,-122.0069131,15244.80711,-34577.26071,2017-04-13T04:10:15.000Z
Shopper_536,Floor 2,34.0319874,-110.253652,469207.8212,-1045434.86,2017-06-12T18:34:39.000Z
Shopper_344,Floor 2,37.78402782,-122.4071064,108.3780387,160.7393132,2017-01-24T21:49:27.000Z
Shopper_41,Floor 2,33.50406074,-108.7340632,523281.103,-1180829.826,2017-01-14T00:43:34.000Z
Shopper_41,Floor 3,37.78381365,-122.4071274,92.55911595,143.5500816,2017-01-14T01:09:42.000Z
Shopper_122,Floor 4,36.06677642,-116.8428504,206531.3723,-482170.0153,2017-01-07T02:32:22.000Z
Shopper_51,Concourse,37.72086805,-122.3435176,-839.6493683,-8764.927595,2017-05-14T01:33:11.000Z
Shopper_51,Floor 1,35.2651336,-114.2466112,315116.8075,-701876.6157,2016-10-13T19:57:16.000Z
Shopper_68,Floor 1,37.78384044,-122.4072364,81.62835112,152.3023931,2017-02-03T17:50:55.000Z
Shopper_68,Floor 2,37.7839851,-122.4070225,110.306178,152.188244,2017-02-03T18:20:43.000Z
Shopper_22,Concourse,33.06113593,-107.1061832,590746.2648,-1316156.891,2016-11-16T00:13:43.000Z
Shopper_135,Floor 4,37.78460216,-122.4063893,194.9325134,170.0636503,2017-04-05T20:45:58.000Z
Shopper_135,Floor 4,37.78439199,-122.4067654,155.1160852,177.2584364,2017-02-08T21:50:06.000Z
Shopper_135,Floor 4,37.78427648,-122.4067755,145.3410189,168.8901979,2017-04-05T22:16:33.000Z
Shopper_156,Floor 4,37.78460216,-122.4063893,194.9325134,170.0636503,2017-05-28T21:31:37.000Z
Shopper_296,Floor 2,31.48675605,-102.0058018,787641.391,-1754936.204,2017-04-23T20:09:14.000Z
Shopper_131,Floor 2,35.77322248,-115.8926296,251582.2471,-560269.513,2017-01-24T00:32:46.000Z
Shopper_131,Floor 2,37.78407143,-122.4070982,112.2918993,163.6887717,2017-01-24T00:50:22.000Z
Shopper_491,Floor 1,37.78405652,-122.4070257,111.6583683,156.460968,2017-03-10T20:57:08.000Z
Shopper_491,Concourse,37.78437091,-122.4068434,139.7672224,167.1098762,2017-03-10T20:53:55.000Z
Shopper_533,Floor 4,37.7352303,-122.3634287,-1073.833731,-6367.005621,2016-12-27T03:17:52.000Z
Shopper_533,Floor 3,37.78399375,-122.4070557,111.1695012,153.2455879,2016-12-27T03:10:28.000Z
Shopper_533,Concourse,37.78415026,-122.4070168,111.7205424,160.2911446,2016-11-26T02:38:16.000Z
Shopper_274,Floor 1,37.7839008,-122.4070223,99.74115559,143.9080437,2016-12-29T01:40:04.000Z
Shopper_274,Floor 2,37.78387732,-122.4072964,84.75078103,160.5085842,2016-12-29T01:14:13.000Z
Shopper_274,Concourse,37.78402333,-122.4070353,100.6736215,151.3693008,2017-01-10T00:50:25.000Z
Shopper_404,Concourse,36.46825187,-118.1732174,162839.7855,-364784.8715,2017-01-21T21:19:29.000Z
Shopper_404,Concourse,37.7688712,-122.3933823,-224.2890566,-1890.173406,2017-01-21T21:19:45.000Z
Shopper_404,Floor 1,37.78408367,-122.4070243,113.8586149,158.5277146,2017-01-21T20:44:58.000Z
Shopper_404,Floor 1,37.78400977,-122.4071171,102.2908489,158.3817716,2017-01-21T21:07:46.000Z
Shopper_380,Concourse,36.45569564,-118.1617969,162577.1743,-366483.2153,2017-01-12T20:50:59.000Z
Shopper_380,Floor 4,37.7218977,-122.3481361,-1189.211911,-8363.553331,2017-01-12T20:54:57.000Z
Shopper_380,Floor 1,37.74123533,-122.3672957,-734.9506412,-5683.634191,2017-01-12T21:25:45.000Z
Shopper_325,Floor 2,37.78405993,-122.4070563,114.015783,160.2018741,2016-11-23T21:29:26.000Z
Shopper_325,Floor 2,37.78395888,-122.4070331,107.6014979,150.7618182,2016-11-23T21:41:28.000Z
Shopper_325,Floor 3,37.78382112,-122.4071421,92.23617406,145.0466559,2016-11-23T22:18:19.000Z
Shopper_325,Floor 3,37.78412476,-122.4072851,107.21724,177.7880986,2016-11-23T22:36:04.000Z
Shopper_259,Floor 2,37.78415205,-122.4070635,120.7445611,167.9440867,2016-12-05T23:16:34.000Z
Shopper_259,Floor 2,37.78423997,-122.4066158,155.6358125,147.3551708,2016-12-05T18:55:46.000Z
Shopper_270,Floor 3,37.72272435,-122.3528655,-1338.015981,-8027.020404,2017-01-02T23:55:16.000Z
Shopper_58,Floor 2,34.31582673,-111.2494694,428933.5872,-961631.9114,2016-12-27T05:38:22.000Z
Shopper_121,Floor 2,37.78397657,-122.4071645,100.7479185,160.2517465,2016-12-27T00:56:55.000Z
Shopper_224,Concourse,37.78405513,-122.4071371,96.76878637,160.1625891,2017-03-16T20:28:16.000Z
Shopper_224,Floor 1,37.66418763,-122.0190096,15082.09956,-33231.96035,2017-05-07T20:23:29.000Z
Shopper_558,Floor 4,37.78438431,-122.4067514,155.3683356,175.7831274,2017-01-07T02:33:38.000Z
Shopper_558,Floor 4,37.7843797,-122.406743,155.5196858,174.897942,2017-01-07T02:10:38.000Z
Shopper_558,Floor 4,37.72767107,-122.3567872,-1264.159492,-7371.886335,2017-01-07T02:04:36.000Z
Shopper_489,Floor 3,37.78392332,-122.4071445,100.1155345,153.2305718,2016-12-23T04:15:52.000Z
Shopper_180,Concourse,37.78402856,-122.4071703,92.61982571,160.0990225,2016-12-28T19:25:30.000Z
Shopper_180,Floor 2,36.46847257,-118.1749217,162762.4213,-364658.217,2016-12-28T23:07:20.000Z
Shopper_449,Floor 1,37.7839132,-122.4071342,93.69966657,151.7765914,2016-12-28T22:28:48.000Z
Shopper_449,Floor 4,37.72282812,-122.3526889,-1395.742507,-8005.862316,2017-01-02T01:18:54.000Z
Shopper_561,Floor 1,36.87966845,-119.4787082,113111.4872,-251802.6622,2016-12-22T23:02:46.000Z
Shopper_475,Floor 3,37.78392209,-122.4071862,97.42942743,155.7236819,2017-02-23T02:09:27.000Z
Shopper_557,Floor 1,37.78418882,-122.4068467,133.1800181,155.9254073,2016-11-20T02:43:05.000Z
Shopper_98,Floor 1,37.78401468,-122.4070444,107.2281127,154.2948122,2017-05-12T01:01:11.000Z
Shopper_98,Concourse,37.78416095,-122.4068979,120.0021721,153.8188631,2016-11-26T01:34:51.000Z
Shopper_98,Floor 3,37.78405456,-122.4070364,117.1422286,156.8294375,2017-05-12T01:06:38.000Z
Shopper_268,Floor 3,37.78393572,-122.4071001,103.8498109,151.444384,2017-03-11T01:53:58.000Z
Shopper_268,Floor 4,29.08210858,-94.27770852,1042036.049,-2439842.741,2017-03-11T01:16:56.000Z
Shopper_550,Concourse,37.78401506,-122.4071774,91.12695619,159.4622131,2017-02-23T01:31:36.000Z
Shopper_550,Floor 1,37.71447478,-122.1820049,8788.224817,-19211.64693,2017-01-04T19:43:19.000Z
Shopper_550,Concourse,37.78397993,-122.4071096,92.6346486,152.5075839,2017-01-04T03:18:45.000Z
Shopper_27,Concourse,37.7103927,-122.3421404,-1569.342298,-9680.045291,2016-10-07T02:00:20.000Z
Shopper_27,Concourse,37.78404747,-122.4071528,95.18840341,160.5210685,2016-10-12T23:25:58.000Z
Shopper_212,Floor 4,28.33822801,-91.80487132,1135303.98,-2652699.178,2016-12-16T21:32:07.000Z
Shopper_212,Floor 2,33.54488765,-108.7701882,524198.2057,-1175369.74,2017-04-03T22:34:58.000Z
